time DSP TSP
1 -0.476905100294328 1.75514680408305
2 -0.224203560884136 0.426783629435801
3 1.24851610095138 1.74401737943451
4 1.94466089832021 4.51375298398445
5 1.64762517262039 3.93927166428995
6 3.28880138746897 2.02302389937901
7 3.93244697365 2.47438854873414
8 3.28446312563748 3.63369110336561
9 3.61438739354376 4.65812402005368
10 5.11152949558739 3.69244511267554
11 5.72522836158505 4.17941334311431
12 8.20133453068032 6.21681629075462
13 7.74714542463644 3.46979946280432
14 8.19338347411547 5.80108986849287
15 8.74666071192131 6.06564414828384
16 8.74352773104007 7.64900775559432
17 7.95890665527794 5.47325533763406
18 7.70854581012116 4.99026210257615
19 8.02924863514578 5.51450722868417
20 8.12928700793079 4.72281300413165
21 8.28577832916011 6.91017604397934
22 8.08814695123785 6.54531930714835
23 8.52771975658316 6.50000474792864
24 7.42735274260011 5.74505100136277
25 7.06450749413565 7.34294721414887
26 6.22904602180065 7.37487679064688
27 5.96568365325142 7.42907445267265
28 7.69614121278196 5.99196675854863
29 7.0021685239548 9.41825096774818
30 7.19704904678702 8.38081074407866
31 9.32836246821137 10.169571887761
32 10.2045285914165 8.99965550143697
33 9.93145723882154 9.50773565461612
34 9.73042764084996 9.34202278725002
35 11.1166656721528 9.85328363819689
36 12.3343045912964 10.7450584110742
37 11.6441245176865 8.03250438198047
38 11.9996366101207 9.9867176809199
39 10.6727454682054 9.72007273816967
40 11.4353015232646 10.1556755878257
41 9.81774420853669 10.6780080344276
42 9.27441519462302 10.9518801654281
43 9.34367557954916 12.195509283574
44 10.2470083091567 9.98674218486073
45 9.85485426940978 11.4449553943904
46 11.5870049146681 11.4747812018864
47 11.8978378861658 11.3418900617084
48 11.5480915766375 12.1040984046145
49 11.4833578140537 12.2852171309156
50 12.9043414856585 9.38495813142155
51 13.764061410211 11.8278863062811
52 12.4476188540632 11.4733630385295
53 10.1994804073981 13.7640203494975
54 10.3456322250473 12.0741209036488
55 10.9762517918577 13.4974693327436
56 10.7045025809439 15.1732037154393
57 9.79044323269981 11.9388254122993
58 9.91519459232429 13.8660643612672
59 9.92238476090705 13.8983370399811
60 10.1841296596617 14.3724834627544
61 9.85007875010527 14.723137400352
62 8.6384103474184 14.3889238094456
63 10.9213930308664 13.0082746600556
64 12.2978228735428 15.0054526523569
65 12.3291244548335 13.597896762124
66 11.8056307792184 15.0153553827054
67 12.1714986961388 15.8002747768839
68 12.0346459438478 14.3397051352766
69 12.1393888802012 15.1909230496789
70 11.4802638468828 16.9472329127434
71 11.5006256422164 14.0028764233446
72 11.750322903894 15.6805269022279
73 11.7937474499191 15.5771039152285
74 11.3879052395549 17.0544303095852
75 11.2058377283813 14.6401570230914
76 12.0185884104988 16.2218377971905
77 11.9965486554587 18.4197022021868
78 11.4602140772655 18.6153089932577
79 13.1663647822918 18.482275500791
80 14.5194081807812 18.6096955523714
81 16.5704065357853 19.2204949407988
82 15.2931443235397 18.4217231160605
83 17.016312519749 18.6866833802376
84 15.8649170487095 17.5140596596355
85 16.8892269610539 20.5953524442326
86 17.0086756793208 18.5730589531059
87 19.2750919243138 18.3155147837999
88 19.0340825253767 20.5702561801492
89 18.1182356294761 20.1883921685631
90 18.6394100999491 21.3818259624469
91 18.7742401430326 21.0865650201634
92 20.2499008746153 21.4442760628281
93 21.6439751832963 20.6973141783813
94 21.4667289217052 19.6457137856851
95 22.5741039290076 18.8632221144343
96 23.3532807785589 20.9007427066535
97 23.278197557119 21.9911102887251
98 23.1626574222935 21.9612247805703
99 24.2381516705132 20.6348837538346
100 22.2366861481052 22.3073116189089
